Garden ID,Garden Name,Address,Contact Number,Latitude,Longitude
1,Nagansola,"Wanni, Rasnayakapura",374944198,8.1648,80.2882
2,Daisy wally,"Ilukwela,Weuda",372299800,7.7248,80.2517
3,Randeniya,Wariyapola,375555217,7.628,80.2458
4,Lenawa,"Hiriyala,Lenawa",374944425,7.5238,80.3229
5,Bopitiya,Bopitiya,372288601,7.4152,80.3048
6,Mahayaya,"Makandura,Gonawila",312299781,7.319,79.998
7,Girtland,"Nabiriththankadawara,Welipennagahamula",374930928,7.7605,80.1318
8,Mundel,Mundel,322052355,7.7988,79.8195
9,Kohombana,"Kohombana Estate,Gonagolla",633632186,7.3827,80.6236
10,Korrei,Thirukkowil,673694530,7.1232,81.8167
11,Passikudha,"Kalkuda, Pasikuda",652050224,7.9297,81.5635
12,Pallei,"Kandy road, Pallei",212050013,9.6632,80.3039
,,,,,
,,,,,
,,,,,
,,,,,  
