Nursery ID,Nursery Name,Address,Contact Number,Latitude,Longitude
13,Kalawewa Nursery,"Kalawewa, Vijithapura",252264194,8.022602648,80.53204474
14,Uhana Nursery,"Palamkandawura, Uhana",632250119,7.35951,81.64813
15,Korosduwa Nursery,"Korosduwa, Wadduwa",382295126,6.65305,79.9536
16,Mattamagoda Nursery,"Mattamagoda, Kannantota",352289105,7.10134,80.27616
17,Eraminigolla Nursery,"Eraminigolla, Hiriwadunna",352263006,7.30704,80.37791
18,Ibbagamuwa Nursery,Ibbagamuwa,372235776,7.51022,80.42601
19,Wariyapola Nursery,Wariyapola,372267691,7.63577,80.2405
20,Nikaweratiya Nursery,Nikaweratiya,372260619,7.73736,80.13002
21,Wennoruwa Nursery,"Muthugalawatta, Wennoruwa",372249836,7.37951,80.21804
22,Dodangaslanda Nursery,"Balawattala Estate, Dodangaslanda",372252625,7.5729,80.51882
23,Polgahawela Nursery,"Serapiiswatta, Panaliya, Polgahawela",372244367,7.32743,80.3183
24,Bingiriya Nursery,"Prasannagama, Bingiriya",322246425,7.61148,79.96746
25,Kandetiya Nusery,"Kandetiya,Makandura,Gonawila",312299386,7.32411,80.00077
26,Hettipola Nursery,"Malagane,Hettipola",372291332,7.57839,80.0688
28,Diyadora Nursery,Pahala Diyadora,372282537,7.44275,80.0584
29,Mahayaya Nursery,Mahayaya,312299938,7.3198,79.99763
30,Walpita Nursery,Walpita,332272559,7.26313,80.03591
31,Kirindiwela Nursery,Kirindiwela,332267704,7.047,80.13346
33,Baddegama Nursery,"Pedasroowatta, Halpathota, Baddegama, Galle",912292745,6.16815,80.15895
34,Labuduwa Nursery,"Labuduwa, Akmeemana, Galle",912234501,6.06994,80.23484
35,Kumburuppidi Nursery,"Kumburuppidi, Trincomelee",263207044,8.74763,81.15575
36,Parakrama Samudraya Nursery,"Richard Aluvihare Garden, Parakrama Samudraya",272224304,7.88658,80.9838
37,Ulhitiya Nursery,"Ulhitiya Estate, Girandurukotte",273279230,7.35951,81.05314
38,Mailambaweli Nursery,"Mailambaweli, Thannamunei, Batticaloa",652240924,7.7646,81.62227
39,Pallekele Nursery,"Pallekele, Balagolla, Kengalla",815040595,7.27445,80.71874
40,Kirimatiyana Nursery,"Kirimatiyana, Lunuwila",312257504,7.36166,79.86522
41,Wilpotha Nursery,"Wilpotha, Baththuluoya",325671077,7.75162,79.84526
42,Attawilluwa Nursery,"Attawilluwa, Kurunegala Road, Puttalam",312257504,8.00956,79.87626
43,Handapanagala Nursery,"Handapanagala, Veherayaya",552274665,6.6567,81.11817
44,Welipitiya Nursery,"Welipitiya Estate, Nanpurawa, Bibila",552265720,7.10004,81.26014
45,Kilinochchi Nursery,"D3, Pannankinni, Kilinochchi",766904602,9.40611,80.44275
46,Devipuram Nursery,"No 29/ASlot, Devipuram, Pudukudirippu, Mulativ",212226014,9.35305,80.66038
47,Achchuveli Nursery,"Wasawilan Road, Achchuveli, Jaffna",771110709,9.78157,80.1008
48,Alampil Nursery,"Alampil, Mulativ",766904603,9.17613,80.84848
49,Embilipitiya Nursery,"Thunkama, Embilipitiya",472230569,6.29557,80.87274
50,Medamulana Nursery,"Medamulana, Weeraketiya",472246359,6.18332,80.76676
51,Mayurapura Nursery,"Mayurapura, Hambanotota",766904558,6.23339,81.02159
52,Madhu nursery,"157/2, Kudiyiruppu Road, Poonthottam, Vavuniya.",242050344,8.82195,80.20678
