Estate / Station Name,District,Location,Latitude,Longitude,Contact Number,Address
Bandirippuwa Estate (Headquarters),Puttalam,Lunuwila,7.33139,79.88028,031-2255300,"Coconut Research Institute, Bandirippuwa Estate, Lunuwila, Sri Lanka"
Ratmalagara Research Centre,Puttalam,Madampe,7.4954,79.8414,032-2240084,"Ratmalagara Research Substation, Madampe, Sri Lanka"
Ambakelle Isolated Seed Garden / GRC,Puttalam,"Ambakelle, Pallama",7.69083,79.89667,032-3329408,"Ambakelle Isolated Seed Garden, Plantation Road, Ambakelle, Sri Lanka"
Pottukulama Research Centre,Puttalam,"Pottukulama, Pallama",7.7009,79.9149,032-5670125,"Pottukulama Research Station, Pottukulama, Pallama, Sri Lanka"
Pallama Genetic Resource Centre,Puttalam,"Magarankadawala, Pallama",7.684,79.918,032-3329720,"Pallama Genetic Resource Centre, Magarankadawala, Pallama, Sri Lanka"
Makandura Research Center / Seed Garden,Kurunegala,Makandura,7.31617,79.97756,031-2299139,"Makandura Research Center, Makandura - Badalgama Rd, Makandura, Sri Lanka"
Middeniya Research Centre,Hambantota,Middeniya,6.2514,80.7642,047-5675049,"Middeniya Research Centre, Thorakolayaya, Embilipitiya - Middeniya Rd, Middeniya, Sri Lanka"
Maduru-Oya Genetic Resource Centre,Polonnaruwa,Maduru Oya,7.648,81.213,031-2255300 (CRI HQ),"Maduru Oya Genetic Resource Centre, Maduru Oya, Sri Lanka"
Weligama Genetic Resource Centre,Matara,Weligama,5.975,80.4297,031-2255300 (CRI HQ),"Weligama Genetic Resource Centre, Weligama, Sri Lanka"
Kinigama Seed Garden,Kurunegala,Kinigama,7.6645,80.012,031-2255300 (CRI HQ),"Kinigama Seed Garden, Kinigama, Sri Lanka"
