"District","Type","Name","Address","Contact Number","Latitude","Longitude"
"Ampara","Regional Office","Ampara","Regional Manager Coconut Cultivation Board,Dharmapala Mawatha,Ampara","063-2222477","7.30007","81.67679"
"Anuradhapura","Regional Office","Anuradhapura","Regional Manager Coconut Cultivation Board,3rd Stage,Dahayyagama Junction,Anuradapura","025-2222543","8.31762","80.39724"
"Badulla","Nursery","Handapanagala Nursery","Handapanagala, Veherayaya","0552274665","6.6567","81.11817"
"Badulla","Nursery","Welipitiya Nursery","Welipitiya Estate, Nanpurawa, Bibila","0552265720","7.10004","81.26014"
"Badulla","Regional Office","Monaragala","Regional Manager Coconut Cultivation Board,Hulandawa South Road,Monaragala","055-2276058","6.852710434634026","81.34172674481545"
"Batticaloa","Regional Office","Batticaloa","Regional Manager Coconut Cultivation Board,Mylambavelly,Thannamunai,Batticaloa","065-2240103","7.76219","81.62364"
"Colombo","Regional Office","Kalutara","Regional Manager Coconut Cultivation Board,Nogoda,Kalutara","034-2222732","6.55993","79.97246"
"Galle","Regional Office","Galle","Regional Manager Coconut Cultivation Board, Labuduwa,Akmeemana,Galle","091-2234501","6.07061","80.23622"
"Gampaha","Regional Office","Gampaha","Regional Manager Coconut Cultivation Board,Bendiyamulla,Gampaha","033-2222037","7.08197","80.01029"
"Hambantoṭa","Regional Office","Hambanthota","Regional Manager Coconut Cultivation Board,No.27, Tangalle Rd,Hambantota","047-2220144","6.12421","81.11903"
"Jaffna","Nursery","Alampil Nursery","Alampil, Mulativ","0766904603","9.17613","80.84848"
"Jaffna","Regional Office","Jaffna","Regional Manager Coconut Cultivation Board,Tharmakerny,A9 Road Palai,Kilinochchi","021-2284501,021-2284502","9.58715","80.35802"
"Kalutara","Regional Office","Kalutara","Regional Manager Coconut Cultivation Board,Nogoda,Kalutara","034-2222732","6.55993","79.97246"
"Kandy","Regional Office","Matale","Regional Manager Coconut Cultivation Board,Kandy Rd,Kohombiliwala Matale","066-2222047","7.45408","80.62971"
"Kegalle","Regional Office","Kegalle","Regional Manager Coconut Cultivation Board,Warakaulla Walawwa,Karadupana, Kandy Rd,Kegalle","035-2222120","7.25121","80.37088"
"Kilinochchi","Nursery","Alampil Nursery","Alampil, Mulativ","0766904603","9.17613","80.84848"
"Kilinochchi","Regional Office","Jaffna","Regional Manager Coconut Cultivation Board,Tharmakerny,A9 Road Palai,Kilinochchi","021-2284501,021-2284502","9.58715","80.35802"
"Kurunegala","Regional Office","Kuliyapitiya","Regional Manager Coconut Cultivation Board,No.20,Meegahakatuwa Junction,Kuliyapitiya","037-2281169","7.46961","80.0261195733977"
"Kurunegala","Regional Office","Kurunegala","Regional Manager Coconut Cultivation Board,Wehera,Kurunegala","037-2222534","7.47159","80.35284722672256"
"Mannar","Regional Office","Vavuniya","Regional Manager Coconut Cultivation Board,Pathniyar Mahilam Kulame,Thendikulam,Vavuniya","024-2050344","8.78105","80.48375"
"Matale","Regional Office","Matale","Regional Manager Coconut Cultivation Board,Kandy Rd,Kohombiliwala Matale","066-2222047","7.45408","80.62971"
"Matara","Regional Office","Matara","Regional Manager Coconut Cultivation Board,No.332/9,Dharmapala Mawatha, Nupe,Matara","041-2222060","5.94811","80.53274753228483"
"Monaragala","Nursery","Handapanagala Nursery","Handapanagala, Veherayaya","0552274665","6.6567","81.11817"
"Monaragala","Nursery","Welipitiya Nursery","Welipitiya Estate, Nanpurawa, Bibila","0552265720","7.10004","81.26014"
"Monaragala","Regional Office","Monaragala","Regional Manager Coconut Cultivation Board,Hulandawa South Road,Monaragala","055-2276058","6.852710434634026","81.34172674481545"
"Mullaitivu","Nursery","Alampil Nursery","Alampil, Mulativ","0766904603","9.17613","80.84848"
"Mullaitivu","Regional Office","Jaffna","Regional Manager Coconut Cultivation Board,Tharmakerny,A9 Road Palai,Kilinochchi","021-2284501,021-2284502","9.58715","80.35802"
"Nuwara Eliya","Regional Office","Matale","Regional Manager Coconut Cultivation Board,Kandy Rd,Kohombiliwala Matale","066-2222047","7.45408","80.62971"
"Polonnaruwa","Regional Office","Polonnaruwa","Regional Manager Coconut Cultivation Board,New Town,Polonnaruwa","027-2222377","7.91517","81.00203"
"Puttalam","Regional Office","Marawila","Regional Manager Coconut Cultivation Board, Mudukotuwa,Marawila","032-2254237","7.39031","79.83221"
"Ratnapura","Regional Office","Rathnapura","Regional Manager Coconut Cultivation Board,New Town,Rathnapura","045-2228561","6.71246","80.37901"
"Trincomalee","Regional Office","Trincomalee","Regional Manager Coconut Cultivation Board,Kumburuppidi,Trincomalee","026-2054018","8.747633766218911","81.1557516060915"
"Vavuniya","Regional Office","Vavuniya","Regional Manager Coconut Cultivation Board,Pathniyar Mahilam Kulame,Thendikulam,Vavuniya","024-2050344","8.78105","80.48375"
