Selected District,Regional Office Name,Office Address,Office Contact No,Latitude,Longitude
Ampara,Ampara,"Regional Manager Coconut Cultivation Board,Dharmapala Mawatha,Ampara",063-2222477,7.30007,81.67679
Anuradhapura,Anuradhapura,"Regional Manager Coconut Cultivation Board,3rd Stage,Dahayyagama Junction,Anuradapura",025-2222543,8.31762,80.39724
Badulla,Monaragala,"Regional Manager Coconut Cultivation Board,Hulandawa South Road,Monaragala",055-2276058,6.85271,81.34173
Batticaloa,Batticaloa,"Regional Manager Coconut Cultivation Board,Mylambavelly,Thannamunai,Batticaloa",065-2240103,7.76219,81.62364
Colombo,Kalutara,"Regional Manager Coconut Cultivation Board,Nogoda,Kalutara",034-2222732,6.55993,79.97246
Galle,Galle,"Regional Manager Coconut Cultivation Board, Labuduwa,Akmeemana,Galle",091-2234501,6.07061,80.23622
Gampaha,Gampaha,"Regional Manager Coconut Cultivation Board,Bendiyamulla,Gampaha",033-2222037,7.08197,80.01029
Hambantoá¹­a,Hambanthota,"Regional Manager Coconut Cultivation Board,No.27, Tangalle Rd,Hambantota",047-2220144,6.12421,81.11903
Jaffna,Jaffna,"Regional Manager Coconut Cultivation Board,Tharmakerny,A9 Road Palai,Kilinochchi","021-2284501,021-2284502",9.58715,80.35802
Kalutara,Kalutara,"Regional Manager Coconut Cultivation Board,Nogoda,Kalutara",034-2222732,6.55993,79.97246
Kandy,Kandy,"74/2, Bodhiyangana Mawatha, Bowala, Kandy",081-2222447,7.27694,80.6175
Kegalle,Kegalle,"Regional Manager Coconut Cultivation Board,Warakaulla Walawwa,Karadupana, Kandy Rd,Kegalle",035-2222120,7.25121,80.37088
Kilinochchi,Jaffna,"Regional Manager Coconut Cultivation Board,Tharmakerny,A9 Road Palai,Kilinochchi","021-2284501,021-2284502",9.58715,80.35802
Kurunegala,Kurunegala,"Regional Manager Coconut Cultivation Board,Wehera,Kurunegala",037-2222534,7.47159,80.35285
Kurunegala,Kuliyapitiya,"Regional Manager Coconut Cultivation Board,No.20,Meegahakatuwa Junction,Kuliyapitiya",037-2281169,7.46961,80.02612
Mannar,Vavuniya,"Regional Manager Coconut Cultivation Board,Pathniyar Mahilam Kulame,Thendikulam,Vavuniya",024-2050344,8.78105,80.48375
Matale,Matale,"Regional Manager Coconut Cultivation Board,Kandy Rd,Kohombiliwala Matale",066-2222047,7.45408,80.62971
Matara,Matara,"Regional Manager Coconut Cultivation Board,No.332/9,Dharmapala Mawatha, Nupe,Matara",041-2222060,5.9492,80.54092
Monaragala,Monaragala,"Regional Manager Coconut Cultivation Board,Hulandawa South Road,Monaragala",055-2276058,6.85271,81.34173
Mullaitivu,Jaffna,"Regional Manager Coconut Cultivation Board,Tharmakerny,A9 Road Palai,Kilinochchi","021-2284501,021-2284502",9.58715,80.35802
Nuwara Eliya,Kandy,"74/2, Bodhiyangana Mawatha, Bowala, Kandy",081-2222447,7.27694,80.6175
Polonnaruwa,Polonnaruwa,"Regional Manager Coconut Cultivation Board,New Town,Polonnaruwa",027-2222377,7.91517,81.00203
Puttalam,Marawila,"Regional Manager Coconut Cultivation Board, Mudukotuwa,Marawila",032-2254237,7.39031,79.83221
Ratnapura,Rathnapura,"Regional Manager Coconut Cultivation Board,New Town,Rathnapura",045-2228561,6.71246,80.37901
Trincomalee,Trincomalee,"Regional Manager Coconut Cultivation Board,Kumburuppidi,Trincomalee",026-2054018,8.74763,81.15575
Vavuniya,Vavuniya,"Regional Manager Coconut Cultivation Board,Pathniyar Mahilam Kulame,Thendikulam,Vavuniya",024-2050344,8.78105,80.48375
